question,ground_truth,reference_content,question_type,difficulty
JPEG编码中Level offset的作用是什么？计算公式是什么？,Level offset的作用是将无符号像素值变成以0为中心的有符号值，适配DCT变换并降低DC系数幅度。计算公式：减去2^(q-1)，当q=8时减去128。,"第一个文档块：
3、电平移位，原像素值减去2^(q-1)？
将无符号像素值变成以0为中心的有符号值，值域在-128~127之间。原因：
（1）适配DCT变换，降低DC系数幅度。DCT（离散余弦变换）的直流分量DC是8x8块的平均值。若不转换，像素值在0~255，DC值通常在100~200，数值很大。转换后，均值接近0，DC值大幅变小（通常在+-几十或0）。DC系数越小，后续量化、熵编码越高效。
第二个文档块：
在非差分帧编码过程计算源图像样本的FDCT之前，需要通过减去2^(q-1)将样本电平移位为有符号值。当q等于8时，电平移位是128.",事实查询,中等
CABAC二进制算术编码中，MPS和LPS分别代表什么？,MPS代表大概率符号（出现概率较大的符号），LPS代表小概率符号（出现概率较小的符号）。,"二进制算术编码是算术编码的特例，只编码符号是“0”和“1”两种。在两种输入符号中，出现概率较大的符号称为大概率符号（MPS），出现概率较小的称为小概率符号（LPS）。初始编码区间是[0,1]，编码时采用MPS的区间在前，LPS的区间在后的顺序，",事实查询,简单
H.264中frame_num和POC分别代表什么？有什么区别？,frame_num代表解码顺序，frame_num连续的情况下，按编码顺序递增；POC代表显示顺序。frame_num是循环计数的，而POC主要用于标识图像的播放顺序。,"每个参考帧都有一个依次连续的frame_num作为它们的标识，这指明了各图像的解码顺序。在非参考帧的slice header中也会出现frame_num，不过该语法元素只有在参考帧才有意义。H.264对frame_num作了如下规定：当参数集中的语法元素gaps_in_frame_num_value_allowed_flag不为1时，每个图像的frame_num值是它前一个参考帧的frame_num值增加1。这句话包含2层意思：
1） 当gaps_in_frame_num_value_allowed_flag不为1，即frame_num连续的情况下，每个图像的frame_num由前一个参考帧图像对应的值加1。
2） 当gaps_in_frame_num_value_allowed_flag不等于1，这时若网络阻塞，编码器可以将编码后的若干图像丢掉，而不用另行通知解码器。这种情况下，解码器必须有相应的机制将缺失的frame_num及所对应的图像填补，否则后续图像若将运动矢量指向缺失的图像将会产生解码错误。
Frame_num是循环计数的，当它达到最大值后又从0重新开始新一轮的计数。解码器必须有这种机制来检测这种循环。
Picture Order Count，图像序列号，主要用于标识图像的播放顺序，同时还用于在对帧间预测片解码时，标记参考图像的初始图像序号，表明下列情况下帧或场之间的图像序号差别：
1） 使用时间直接预测模式的运动矢量推算时；
2） B片中使用固有模式加权预测时；
3） 解码器一致性检测时。
POC标识图像的显示顺序，因此递增的顺序和图像顺序一致，不过有自己的循环，当达到最大值时，重新开始递增。POC是针对场而言，因此每个图像都会包括顶场顺序号和低场顺序号。表中只给出了每个图像中的一个场的编号
",事实查询,简单
x264中CBR码控算法的单帧目标码率如何计算？,单帧目标码率 = 目标码率 / 帧率。例如目标码率2000kbps、帧率25fps时，单帧目标码率=80kbit/帧。,"第一个文档块：
1.初始化配置：
 输入目标码率（如 2Mbps）、编码帧率（如 30fps），计算单帧目标码率（帧预算 = 目标码率 / 帧率，例：2e6 bps / 30fps ≈ 66667 bits/frame）。
第二个文档块：
单帧目标码率：per_frame_target = 目标码率 / 帧率（如 2000k/25fps = 80 kbit / 帧）；",事实查询,中等
HEVC中SAO编码有哪两种模式？,SAO有两种模式：带补偿（BO）模式和边缘补偿（EO）模式。,sao有两种模式，一种是带补偿（BO）模式，一种是边缘补偿（EO）模式。每种模式都会传4个补偿值的绝对值给解码端。另外BO模式也会将每个非零补偿值的符号和最小边带号传到解码端，EO模式还会将梯度方向索引传到解码端。当使用BO模式的时候，sao_type_idx=1，使用EO模式的时候，sao_type_idx=2，两种模式都不使用的时候，sao_type_idx=0.sao的编码过程,事实查询,简单
C++ STL中vector创建对象的方式有哪些？,"vector/list/deque<int> a;//无参构造
 vector<int> arr(4, 100);//创建一个大小为4，数组元素为100的数组。
 vector<int> brr(arr.begin(), arr.end());//以arr的始迭代器和arr的末迭代器构造
 vector<int> crr(brr);//用brr拷贝构造crr
","void TestConstructure()
{
 vector/list/deque<int> a;//无参构造
 vector/list/deque<int> arr(4, 100);//创建一个大小为4，数组元素为100的数组。
 vector/list/deque<int> brr(arr.begin(), arr.end());//以arr的始迭代器和arr的末迭代器构造
 vector/list/deque<int> crr(brr);//用brr拷贝构造crr
vector/list/deque<int> l6{ 2,3,4,5,6 }; //列表格式初始化
vector/list/deque<int> l7 = { 3,4,5,6,7 };//隐式类型转换+赋值重载
int arr[] = { 1,2,3,4,5 };
vector/list/deque<int> l4(arr, arr + sizeof(arr) / sizeof(int)); //以数组为迭代器区间构造l4
}
",事实查询,简单
h264中I帧和P帧的区别是什么？,"I帧描述图像背景和运动主体的详情，使用帧内预测方式编码，I帧是关键帧，解码时不需要参考其他帧，只用I帧的数据就可以解码完整图像。
P帧表示的是当前帧与前一个关键帧或P帧的差别，使用帧间预测方式编码，解码时需要参考其他帧才能解码完整图像。","１、I帧特点
1）使用帧内预测，不需要参考其他帧，解码时仅用I帧的数据就可重构完整图像；
2）I帧描述了图像背景和运动主体的详情；
3）I帧是P帧和B帧的参考帧，其质量直接影响到同组中以后各帧的质量；
4）I帧是GOP的基础帧，在一个GOP中只有一个I帧；
5）I帧不需要考虑到运动矢量；
6）I帧所占数据的信息量比较大。
7）I帧表示关键帧。
２、P帧特点
P帧表示的是当前帧与之前的一个关键帧或P帧的差别，解码时需要用之前缓存的画面叠加上本帧定义的差别，生成最终画面。P帧从参考帧中找出本帧中某一点的预测值和运动矢量，将残差和运动矢量一起传送。在接收端根据运动矢量从参考帧中找出P帧某一点的预测值并与残差相加得到P帧某一点的像素值，从而可得到完整的P帧。
1） P帧是I帧后面相隔１～２帧的编码帧；
2） P帧采用运动补偿的方法传送它与前面的I帧或P帧的差值和运动矢量；
3） 解码时必须将参考帧中的预测值和残差相加才能重构完整的P帧图像；
4） P帧只参考它前面的I帧或P帧，可以作为B帧的参考帧；
5） 由于P帧是参考帧，它可能造成解码错误的扩散；
6）由于是差值传送，P帧的压缩比较高。
",事实查询,简单
JPEG中Huffman编码的范式规则是什么？,规则1：最小编码长度的第一个编码从0开始；规则2：相同长度编码必须是连续的；规则3：编码长度为j的第一个符号可以从编码长度为j-1的最后一个符号得到，公式为c_j = 2(c_{j-1}+1)。,AlitaJPEG详细设计文档.docx,事实查询,
x265中lambda和lambda2分别用于什么场景？,lambda用于intra亮度分量在方向模式上的粗选、inter运动估计、merge模式的MV选择；lambda2用于intra亮度分量做精选、intra色度模式选择、skip/merge的pk、ctu划分分层比较等需要计算rdcost的场景。,"lambda的作用：
1）intra亮度分量在方向模式粗选过程中使用，失真使用satd，即原始像素值和预测值差值的绝对值之和，bits使用MPM的bit估计值。
2）inter做ME过程中使用，选择最优MV，整像素搜索失真使用sad，分像素搜索失真用satd。
3）merge从mv候选列表中选出最优的一个mv，此过程使用lambda，失真使用satd。
4）当前cu做完ME之后，计算总cost值时使用lambda，失真使用satd。
 
lambda2的作用：
1）intra亮度分量从粗选出来的模式候选列表中再做精选，选出最优的模式，此过程使用lambda2，计算rdcost，失真使用sse，即原始像素值与重建像素值的差值平方和。bits使用方向模式各语法元素以及残差的bit估计值。
2）intra色度分量做模式选择，选出最优的模式，使用lambda2，失真使用sse。
2）skip和merge做pk的时候使用lambda2计算rdcost，失真使用sse，bits使用各模式相关语法元素的bit估计值。
3）inter下做tu划分和不划分比较的时候、intra和inter做比较时使用lambda2计算rdcost，失真使用sse。
4）ctu划分分层比较的时候使用rdcost做比较，rdcost用lambda2和sse计算得到。
",事实查询,简单
CBR、VBR、ABR三种码控模式的核心目标分别是什么？,CBR核心目标是码率稳定；VBR核心目标是质量稳定；ABR核心目标是平均码率稳定加质量均衡。,"第一个文档块：
一、CBR（Constant Bit Rate，恒定码率）
定义
编码过程中输出码率严格保持在预设目标值附近，码率波动极小（通常波动范围 <5%），核心优先级是 “码率稳定”，而非绝对质量。
核心流程（以 H.264 编码为例）
CBR 的核心是通过 “动态调整编码参数” 抵消内容复杂度变化，强制码率贴合目标值
第二个文档块：
二、VBR（Variable Bit Rate，可变码率）
定义
编码码率随内容复杂度动态变化：复杂场景（如快速运动、细节丰富）分配更高码率，简单场景（如静态画面、纯色背景）分配更低码率，核心优先级是 “恒定画面质量”，码率仅作为约束条件。
核心流程（以 H.265 编码为例）
VBR 的核心是 “以质量为锚点，动态分配码率”
第三个文档块：
三、ABR（Average Bit Rate，平均码率）
定义
介于 CBR 和 VBR 之间的折中方案：长期码率维持在预设平均值，短期可随内容复杂度波动（波动范围大于 CBR、小于 VBR），核心目标是 “平衡码率稳定和画面质量”。
核心流程（融合 CBR 和 VBR 逻辑）
ABR 的核心是 “以平均码率为约束，以质量为目标”
",事实查询,中等
请总结JPEG编码中MCU划分的规则，不同采样格式下MCU的尺寸和包含的8x8块数量。,I420格式：MCU大小16x16，包含4个8x8亮度块和2个8x8色度块；I422格式：MCU大小16x8，包含2个8x8亮度块和2个8x8色度块；I400格式：MCU大小8x8，只包含1个8x8亮度块；I444格式：MCU大小8x8，包含1个8x8亮度块和2个8x8色度块。,"将一帧图像按照raster扫描顺序划分成一个个MCU，图像采样格式不同，MCU的尺寸也不一样，MCU包含的8x8的块也不同。对于420格式的图像，MCU的大小是16x16，包含4个8x8亮度块和2个8x8色度块；对于422格式的图像，MCU的大小16x8，包含2个8x8亮度块和2个8x8色度块；对于400格式的图像，MCU的大小是8x8，只包含一个8x8亮度块；对于444格式的图像，MCU的大小是8x8，包含1个8x8亮度块和2个8x8色度块。
",事实查询,简单
请总结x265和x264在CABAC编码过程中上下文模型的初始化方法。,"每个上下文变量都要初始化概率状态索引pStateIdx和MPS值valMps。x265由initValue推导变量m和n，x264则直接给出m和n的值，由m和n计算pStatedIdx和valMps。
X265的推导过程如下：slopeIdx=initValue>>4，offsetIdx=initValue&15，m=slopeIdx*5-45，n=(offsetIdx<<3)-16，preCtxState=Clip3(1,126,((m*Clip3(0,51,SliceQPy))>>4)+n)，valMps=(preCtxState<=63)?0:1，pStateIdx=valMps?(preCtxState-64):(63-preeCtxState)。","第一个文档块：
对于每个上下文变量，都要初始化概率状态索引pStateIdx和MPS的值valMps。
X265中对每个上下文变量，首先都要给定一个初始值initValue，帧类型不同，initValue值也有所不同。由initValue推导出pStateIdx和valMps，推导过程如下：
slopeIdx = initValue >> 4
offsetIdx = initValue & 15
m = slopeIdx * 5 - 45
n = (offsetIdx << 3) - 16
preCtxState = Clip3(1, 126, ((m * Clip3(0, 51, SliceQPy)) >> 4) + n)
valMps = (preCtxState <= 63) ? 0 : 1
pStateIdx = valMps ? (preCtxState - 64) : (63 - preCtxState)
第二个文档块：
H264初始化上下文变量时要用到变量m和n，用m和n推导出两个变量pStateIdx和valMPS，推导过程与H265一致。帧类型不同，m和n的值也不同。同一帧，ctxIdx不同，m和n的值也不同。H264中共有460个ctxIdx。",事实查询,中等
请总结H.264中参考帧的标记方法。,标记方法有两种：自动滑窗法（FIFO方法，DPB满时移除picNum最小的短期参考帧）和自定义标记法。,"2） 参考图像的标记方法
自动滑窗法：即FIFO方法，当DPB满时，将DPB中picNum最小的短期参考（即最早的参考图像）移出DPB。
自定义标记法：根据语法元素memory_management_control_operation的值来指定将某一参考图像设置为何种类型的参考图像或者将其移出DPB。",事实查询,简单
请总结x264中整像素运动估计搜索过程的步骤。,第一步：以起始点为中心做步长为2的六边形搜索；第二步：如果六边形点都不是最优点，以起始点为中心做步长为1 的中间小菱形搜索；第三步：以起始点为中心做步长为1的中间小四边形搜索，从8个点和起始点中选出最优的作为MV。,"5、 第一步：以起始点为中心点进行六边形搜索，步长为2. 搜索点为(-2,0), (-1,2), (1,2), (2,0), (1,-2), (-1,-2);
第二步：如果这六个点都不是最优点，以起始点为中心、步长为1进行中间小菱形搜索，搜索点为(0,-1), (0,1), (-1,0), (1,0);
第三步：以起始点为中心、步长为1进行中间小四边形搜索，搜索点为(-1,-1), (-1,1), (1,-1), (1,1);
从这8个点中选出最优的，如果没有最优的，那最优点还是起始点。到这里停止整像素搜索。
",总结归纳,简单
请总结H264中帧内预测时参考像素滤波的处理规则。,"对宏块大小是8x8做帧内预测时才对参考像素做滤波处理，过程如下：
对于上方参考样点：p'[0,-1]根据p[-1,-1]是否可用Intra8x8预测采用不同权重计算；p'[x,-1]（x=1..7）使用三抽头滤波器(1,2,1)计算。对于左边参考样点：p'[-1,0]根据p[-1,-1]是否可用Intra8x8预测采用不同权重计算；p'[-1,y]（y=1..6）使用三抽头滤波器(1,2,1)计算。","档次为high的情况下，增加了8x8的帧内预测，8x8的帧内预测模式按照4x4的模式来做，
其过程如下：
1、 确定一个pred_mode.从左边和上方宏块中选择一个模式号小的作为pred_mode。在函数x264_mb_predict_intra4x4_mode中实现
2、 根据当前宏块是否有相邻宏块来确定predict_mode模式列表，在函数predict_8x8_mode_available实现，过程如下：
若没有相邻宏块，则predict_mode只有一个模式，即DC_128;
若只存在左边相邻块，则predict_mode为DC_LEFT、H、HU；
若只存在上边和右上相邻块，则predict_mode为DC_TOP、V、DDL、VL；
若存在左边、上边和左上相邻块，则predict_mode为9种方向模式；

3、 做预测之前，要对参考像素值做一下滤波处理。调用h->predict_8x8_filter函数指针，处理过程如下：
对于上方参考样点：
当 p[ x, −1 ]，x = 0..7 的所有样点都被标记为“可用于 Intra_8x8 预测”时，应用以下过程:
— p'[0,−1]的值由以下方式得到: 
— 如果p[ −1, −1 ]被标记为“可用于Intra_8x8预测”，则 
p'[ 0, −1 ] = ( p[ −1, −1 ] + 2 * p[ 0, −1 ] + p[ 1, −1 ] + 2 ) >> 2 
— 否则(p[ −1, −1 ]被标记为“不可用于Intra_8x8预测时”，)则
p'[ 0, −1 ] = ( 3 * p[ 0, −1 ] + p[ 1, −1 ] + 2 ) >> 2
— p'[x,−1]，x=1..7的值由以下方式得到:
p'[ x, −1 ] = ( p[ x−1, −1 ] + 2 * p[ x, −1 ] + p[ x+1, −1 ] + 2 ) >> 2
当 p[ x, −1 ]，x = 7..15 的所有样点都被标记为“可用于 Intra_8x8 预测”时，应用以下过程。 — p'[x,−1]，x=8..14的值由以下方式得到:
p'[ x, −1 ] = ( p[ x−1, −1 ] + 2 * p[ x, −1 ] + p[ x+1, −1 ] + 2 ) >> 2
— p'[15,−1]的值由以下方式得到:
p'[ 15, −1 ] = ( p[ 14, −1 ] + 3 * p[ 15, −1 ] + 2 ) >> 2 
对于左边参考样点：
当 p[ −1, −1 ]被标记为“可用于 Intra_8x8 预测”时，p'[ −1, −1 ]的值由以下方式得到:
— 如果p[ 0, −1 ] 被标记为“不可用于Intra_8x8预测”，或 p[ −1, 0 ] 被标记为“不可用于Intra_8x8预测”，以下方式适用:
— 如果p[ 0, −1 ]被标记为“可用于Intra_8x8预测”，则p[ −1, −1 ]为 
p'[ −1, −1 ] = ( 3 * p[ −1, −1 ] + p[ 0, −1 ] + 2 ) >> 2 
— 否则(p[ 0, −1 ] 被标记为“不可用于Intra_8x8预测”，并且p[ −1, 0 ] 被标记为“可用于Intra_8x8 预测”)，则p[ −1, −1 ]为
p'[ −1, −1 ] = ( 3 * p[ −1, −1 ] + p[ −1, 0 ] + 2) >> 2 
— 否则(样点p[ 0, −1 ]标记为“可用于Intra_8x8预测”并且样点p[ −1, 0 ]标记为“可用于Intra_8x8预 测”)，p'[ −1, −1 ]通过如下公式得到: 
p'[ −1, −1 ] = ( p[ 0, −1 ] + 2 * p[ −1, −1 ] + p[ −1, 0 ] + 2) >> 2
当所有 p[ −1, y ]，y = 0..7 的样点被标记为“可用于是 Intra_8x8 预测”时，应用如下规则: 
---p'[ −1, 0 ]的值由以下方式得到:
— 如果p[ −1, −1 ]被标记为“可用于Intra_8x8预测”，则 p'[ −1, 0 ] 为 
p[−1, 0 ] = ( p[ −1, −1 ] + 2 * p[ −1, 0 ] + p[ −1, 1 ] + 2 ) >> 2
— 否则(如果p[ −1, −1 ]被标记为“不可用于Intra_8x8预测”)，则 p'[ −1, 0 ]为 
p'[ −1, 0 ]=(3*p[-1,0] + p[-1,1] + 2)>>2
---p’[-1,y] , y=1..6的值为：
p’[-1,y] = (p[-1,y-1] + 2*p[-1,y] + p[-1,y+1] +2)>>2
---p’[-1,7]的值为：
p’[-1,7]=(p[-1,6] + 3*p[-1,7]+2)>>2
",总结归纳,简单
请总结x265中CTU中做帧内预测的递归调用逻辑。,CTU分割：先将64x64 CTU分割成4个32x32的CU，对每个CU递归调用compressIntraCU。分割后获取每个CU的原始YUV像素值。initSubCU根据CTU坐标和索引值确定子CU坐标。checkIntra进行方向模式预测。checkBestMode根据rdCost更新bestMode。copyPartFrom将子CU预测结果copy到父CU。addSubCosts累加子CU的数据存到父CU层。copyToPartYuv将子CU重构像素copy到父CU。copyToPic将best encData保存到CTU结构。,"compressIntraCU(const CUData& parentCTU, const CUGeom& cuGeom, int32_t qp)
输入的parentCTU=curEncData.getPicCTU(cuAddr)
cuGeom=m_cuGeom[m_ctuGeomMap[cuAddr]]

1、	CTU分割，首先将64x64CTU分割成4个32x32的CU，对每个CU递归调用compressIntraCU，直到不再分割；
2、	分割后，获取每个CU的原始YUV像素值，执行copyPartToYuv(), 将m_modeDepth[0].fencYuv.m_buf中的像素值copy到m_modeDepth[nextDepth].fencYuv.
m_buf。

3、	initSubCU(parentCTU)：根据CTU的坐标和cuGeom.absPartIdx确定子CU的坐标。

4、	checkIntra(): 方向模式预测，CU大小是8x8时，分别做2Nx2N和NxN的模式预测，输入modes是m_modeDepth[depth].pred[PRED_INTRA]，partSize是2Nx2N和m_modeDepth[depth].pred[PRED_INTRA_NxN]，partSize是NxN;
其他尺寸的CU，只做2Nx2N的模式预测，输入mode是m_modeDepth[depth].pred[PRED_INTRA]，partSize是2Nx2N。

